Product_ID,Product_Name,Category,  Unit_Price  ,Stock_Quantity,Stock_Level,Reorder_Point,Lead_Time_Days,Last_Restock_Date,Supplier_ID,Warehouse_Location,Min_Order_Quantity,Status,Entry_Date,Country,Latitude,Longitude
SKU002022,Product_2022,Clothing,472.56,591,Mid,62,27,19/5/2024,SUP012,AISLE-01-SHELF-01,14,In Stock,25/10/2023,Germany,47.701,10.0581
SKU002075,Product_2075,Clothing,374.26,136,Low,74,20,9/8/2024,SUP027,AISLE-01-SHELF-01,29,In Stock,18/2/2024,Spain,36.8926,-5.4515
SKU002523,Product_2523,Toys,29.11,176,Low,38,14,12/9/2023,SUP040,AISLE-01-SHELF-01,5,In Stock,20/6/2023,Spain,39.3519,-3.9471
SKU003188,Product_3188,Home & Garden,56.32,682,Mid,52,14,28/5/2024,SUP001,AISLE-01-SHELF-01,18,Out of Stock,6/4/2024,Sweden,62.9581,13.4963
SKU003768,Product_3768,Sports,512.09,522,Mid,72,5,26/5/2025,SUP008,AISLE-01-SHELF-01,24,In Stock,30/6/2024,Italy,37.8537,15.9189
SKU004248,Product_4248,Toys,213.25,816,High,93,12,29/7/2025,SUP022,AISLE-01-SHELF-01,19,In Stock,29/10/2024,Poland,53.0583,15.0396
SKU000380,Product_380,Sports,55.96,968,High,22,15,7/2/2025,SUP022,AISLE-01-SHELF-02,15,In Stock,1/1/2025,Italy,43.6517,6.9775
SKU003225,Product_3225,Electronics,914.88,693,Mid,57,10,4/9/2025,SUP001,AISLE-01-SHELF-02,23,In Stock,28/10/2024,Italy,39.2818,13.901
SKU004108,Product_4108,Sports,68.42,427,Mid,41,28,21/2/2024,SUP023,AISLE-01-SHELF-02,26,In Stock,10/5/2023,Sweden,63.8745,17.9315
SKU000112,Product_112,Toys,331.23,851,High,52,16,21/6/2025,SUP011,AISLE-01-SHELF-03,28,In Stock,28/2/2025,Italy,42.8852,14.3701
SKU001682,Product_1682,Books,591.70,108,Low,39,1,22/7/2025,SUP042,AISLE-01-SHELF-03,49,In Stock,1/2/2025,Poland,50.3584,16.7963
SKU002491,Product_2491,Clothing,891.20,378,Mid,35,1,13/1/2024,SUP007,AISLE-01-SHELF-03,8,Out of Stock,21/10/2023,Poland,52.9868,17.8253
SKU002819,Product_2819,Office Supplies,189.71,319,Mid,11,19,18/4/2025,SUP031,AISLE-01-SHELF-03,42,In Stock,4/10/2024,Sweden,67.9051,14.7098
SKU002830,Product_2830,Office Supplies,663.46,601,Mid,27,5,23/10/2024,SUP045,AISLE-01-SHELF-03,45,In Stock,3/2/2024,Belgium,50.2468,6.0183
SKU003833,Product_3833,Books,420.80,282,Low,55,4,15/12/2023,SUP015,AISLE-01-SHELF-03,32,In Stock,15/5/2023,Spain,42.9561,2.2138
SKU000129,Product_129,Clothing,18.42,265,Low,34,22,9/11/2024,SUP022,AISLE-01-SHELF-04,32,In Stock,15/9/2024,Netherlands,51.2483,3.5383
SKU000796,Product_796,Books,127.87,505,Mid,65,13,16/5/2025,SUP049,AISLE-01-SHELF-04,14,In Stock,6/12/2024,Netherlands,52.9175,6.9928
SKU001871,Product_1871,Electronics,511.31,278,Low,30,7,14/9/2023,SUP012,AISLE-01-SHELF-04,11,In Stock,31/7/2023,Austria,48.2901,13.9647
SKU002168,Product_2168,Home & Garden,115.65,325,Mid,49,15,27/9/2025,SUP013,AISLE-01-SHELF-04,11,In Stock,14/3/2025,Belgium,50.3573,2.9942
SKU002267,Product_2267,Clothing,152.35,528,Mid,98,18,16/4/2025,SUP023,AISLE-01-SHELF-04,36,In Stock,23/4/2024,Germany,54.6617,6.7637
SKU004901,Product_4901,Books,983.16,961,High,83,1,21/8/2024,SUP007,AISLE-01-SHELF-04,41,In Stock,31/12/2023,Austria,48.3385,17.028
SKU001052,Product_1052,Sports,894.87,579,Mid,64,22,9/5/2025,SUP019,AISLE-01-SHELF-05,17,In Stock,2/11/2024,Italy,38.5274,16.3689
SKU001555,Product_1555,Electronics,450.00,962,High,75,24,14/1/2024,SUP006,AISLE-01-SHELF-05,37,In Stock,24/6/2023,Italy,41.7035,14.5028
SKU003850,Product_3850,Books,531.07,819,High,87,14,1/5/2023,SUP015,AISLE-01-SHELF-05,30,In Stock,16/4/2023,Austria,46.837,10.4045
SKU003881,Product_3881,Clothing,361.89,556,Mid,83,27,31/8/2023,SUP027,AISLE-01-SHELF-05,35,Out of Stock,18/5/2023,Sweden,56.4679,23.4698
SKU000416,Product_416,Electronics,242.59,276,Low,63,9,25/1/2024,SUP031,AISLE-01-SHELF-06,31,In Stock,7/6/2023,United Kingdom,51.6096,-3.728
SKU000436,Product_436,Toys,178.26,722,High,29,18,5/7/2024,SUP002,AISLE-01-SHELF-06,47,In Stock,20/4/2024,Germany,53.5685,12.1682
SKU002264,Product_2264,Office Supplies,759.36,292,Low,64,15,2/11/2023,SUP028,AISLE-01-SHELF-06,36,In Stock,8/6/2023,Belgium,49.7156,4.4016
SKU002539,Product_2539,Books,531.67,784,High,20,16,23/4/2024,SUP023,AISLE-01-SHELF-06,31,In Stock,20/7/2023,Poland,52.8287,22.4608
SKU003938,Product_3938,Clothing,113.37,5,Low,19,22,14/10/2023,SUP009,AISLE-01-SHELF-06,36,In Stock,14/8/2023,Sweden,61.8434,17.229
